server,eval_csv,run_dir,env,domain,task,config,seed,target_steps,final_step,status,success_final,return_final,length_final,success_best,best_step,drop_from_best,success_peak_after_500k,peak_step_after_500k,trajectory,mtime
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v5/exp/smoke_baseline_value_flows_visual-scene-play-singletask-task5-v0_seed2_1000/smoke_baseline_value_flows_visual-scene-play-singletask-task5-v0_seed2_1000/sd002_20260609_170014/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v5/exp/smoke_baseline_value_flows_visual-scene-play-singletask-task5-v0_seed2_1000/smoke_baseline_value_flows_visual-scene-play-singletask-task5-v0_seed2_1000/sd002_20260609_170014,visual-scene-play-singletask-task5-v0,visual-scene-play,task5,sd002_20260609_170014,2,,1000,UNKNOWN_TARGET,0,-1500,750,0,1,0,,,0:0 -> 1k:0,2026-06-09T17:02:59
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v5/exp/smoke_pm_A1_action_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/smoke_pm_A1_action_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/sd002_20260609_170308/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v5/exp/smoke_pm_A1_action_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/smoke_pm_A1_action_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/sd002_20260609_170308,visual-scene-play-singletask-task5-v0,visual-scene-play,task5,A1_action_std_lam0p001,2,,1000,UNKNOWN_TARGET,0,-1500,750,0,1,0,,,0:0 -> 1k:0,2026-06-09T17:06:04
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v5/exp/smoke_pm_R2_flow_residual_disagree_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/smoke_pm_R2_flow_residual_disagree_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/sd002_20260609_170613/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v5/exp/smoke_pm_R2_flow_residual_disagree_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/smoke_pm_R2_flow_residual_disagree_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/sd002_20260609_170613,visual-scene-play-singletask-task5-v0,visual-scene-play,task5,R2_flow_residual_disagree_std_lam0p001,2,,1000,UNKNOWN_TARGET,0,-1500,750,0,1,0,,,0:0 -> 1k:0,2026-06-09T17:09:19
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/domain_smoke_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/domain_smoke_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/sd002_20260609_193032/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/domain_smoke_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/domain_smoke_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/sd002_20260609_193032,visual-antmaze-medium-navigate-singletask-task1-v0,visual-antmaze-medium-navigate,task1,A1_action_std_lam0p001,2,,1000,UNKNOWN_TARGET,0,-1000,1000,0,1,0,,,0:0 -> 1k:0,2026-06-09T19:33:30
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/domain_smoke_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/domain_smoke_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/sd002_20260609_193339/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/domain_smoke_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/domain_smoke_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/sd002_20260609_193339,visual-antmaze-teleport-navigate-singletask-task1-v0,visual-antmaze-teleport-navigate,task1,A1_action_std_lam0p001,2,,1000,UNKNOWN_TARGET,0,-1000,1000,0,1,0,,,0:0 -> 1k:0,2026-06-09T19:36:41
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/domain_smoke_visual-cube-double-play_visual-cube-double-play-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/domain_smoke_visual-cube-double-play_visual-cube-double-play-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/sd002_20260609_193651/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/domain_smoke_visual-cube-double-play_visual-cube-double-play-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/domain_smoke_visual-cube-double-play_visual-cube-double-play-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/sd002_20260609_193651,visual-cube-double-play-singletask-task1-v0,visual-cube-double-play,task1,A1_action_std_lam0p001,2,,1000,UNKNOWN_TARGET,0,-500,500,0,1,0,,,0:0 -> 1k:0,2026-06-09T19:39:41
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/domain_smoke_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_1000/domain_smoke_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_1000/sd002_20260609_195951/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/domain_smoke_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_1000/domain_smoke_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_1000/sd002_20260609_195951,visual-scene-play-singletask-task5-v0,visual-scene-play,task5,A1_action_std_lam0p001,2,,1000,UNKNOWN_TARGET,0,-1500,750,0,1,0,,,0:0 -> 1k:0,2026-06-09T20:02:39
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260609_200247/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260609_200247,visual-antmaze-medium-navigate-singletask-task1-v0,visual-antmaze-medium-navigate,task1,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0.2,-956.7,956.9,0.6,200000,-0.4,,,0:0 -> 100k:0 -> 200k:0.6 -> 300k:0.2,2026-06-09T21:19:34
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260609_200248/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260609_200248,visual-antmaze-medium-navigate-singletask-task1-v0,visual-antmaze-medium-navigate,task1,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,0.3,-906.3,906.6,0.5,150000,-0.2,,,0:0 -> 100k:0.2 -> 200k:0.2 -> 300k:0.3,2026-06-09T21:24:03
4090d,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260609_212452/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task2-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260609_212452,visual-antmaze-medium-navigate-singletask-task2-v0,visual-antmaze-medium-navigate,task2,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0.2,-900.5,900.7,0.4,100000,-0.2,,,0:0 -> 100k:0.4 -> 200k:0 -> 300k:0.2,2026-06-09T22:41:40
