run_id,server,machine_tag,root_path,eval_csv,train_csv,command_txt,domain,task_id,env,config_name,method_group,seed,target_steps,final_step,status,final_success,final_return,final_length,best_peak_success,best_peak_step,best_peak_return,best_peak_length,peak_after_500k_success,peak_after_500k_step,drop_final_from_peak,trajectory_short,has_train_csv,has_command_txt,has_checkpoint,notes,source_kind,source_file,vf_baseline,collapse,severe_collapse,recommended_fix
single4090__audit__scene-play-singletask-task4-v0__A2_action_std_lam0p003__seed2__300000__sd002_20260608_234523,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_A2_action_std_lam0p003_seed2/sd002_20260608_234523/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_A2_action_std_lam0p003_seed2/sd002_20260608_234523/train.csv,,scene-play,task4,scene-play-singletask-task4-v0,A2_action_std_lam0p003,A2,2,300000,300000,completed_300k,0.0,-769.6,750.0,0.9,100000,-529.4,304.2,,,-0.9,1:0 -> 100k:0.9 -> 200k:0.2 -> 300k:0,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_A2_action_std_lam0p003_seed2/sd002_20260608_234523/eval.csv,0.07,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__scene-play-singletask-task4-v0__P0_particle__seed2__1000000__sd002_20260611_162414,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_scene_task4_P0_particle_seed2/sd002_20260611_162414/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_scene_task4_P0_particle_seed2/sd002_20260611_162414/train.csv,,scene-play,task4,scene-play-singletask-task4-v0,P0_particle,P0,2,1000000,1000000,completed_1m,0.0,-793.0,750.0,0.9,100000,-483.5,321.0,0.1,550000,-0.9,1:0 -> 100k:0.9 -> 200k:0.4 -> 300k:0.1 -> 400k:0.2 -> 500k:0 -> 600k:0.1 -> 700k:0.1 -> 800k:0 -> 900k:0 -> 1000k:0,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_scene_task4_P0_particle_seed2/sd002_20260611_162414/eval.csv,0.07,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__scene-play-singletask-task4-v0__A2_action_std_lam0p003__seed2__300000__sd002_20260620_152041,single4090-new,seetacloud-cqa1-31499,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_A2_action_std_lam0p003_seed2/sd002_20260620_152041/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_A2_action_std_lam0p003_seed2/sd002_20260620_152041/train.csv,,scene-play,task4,scene-play-singletask-task4-v0,A2_action_std_lam0p003,A2,2,300000,300000,completed_300k,0.1,-884.4,744.6,0.9,100000,-518.0,295.0,,,-0.8,1:0 -> 100k:0.9 -> 200k:0.1 -> 300k:0.1,True,False,False,,eval_csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_A2_action_std_lam0p003_seed2/sd002_20260620_152041/eval.csv,0.07,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__cube-triple-play-singletask-task1-v0__FullSafe__seed2__1000000__sd002_20260527_072316,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-triple-play-singletask-task1-v0_pm_fullsafe_official_highmem/sd002_20260527_072316/eval.csv,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-triple-play-singletask-task1-v0_pm_fullsafe_official_highmem/sd002_20260527_072316/train.csv,,cube-triple-play,task1,cube-triple-play-singletask-task1-v0,FullSafe,FullSafe,2,1000000,1000000,completed_1m,0.5,-779.4,763.7,0.9,850000,-358.5,359.4,0.9,850000,-0.4,1:0 -> 100k:0 -> 200k:0 -> 300k:0.1 -> 400k:0 -> 500k:0.4 -> 600k:0.5 -> 700k:0.5 -> 800k:0.7 -> 900k:0.7 -> 1000k:0.5,True,False,False,,eval_csv,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-triple-play-singletask-task1-v0_pm_fullsafe_official_highmem/sd002_20260527_072316/eval.csv,0.59,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__cube-triple-play-singletask-task1-v0__ActorGeo__seed0__1000000__sd000_20260527_194651,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/table3_pm_actorgeo_problem_envs_4090/cube-triple-play-singletask-task1-v0_pm_actorgeo_problem_envs_4090/sd000_20260527_194651/eval.csv,/root/sb-value-flows/exp/table3_pm_actorgeo_problem_envs_4090/cube-triple-play-singletask-task1-v0_pm_actorgeo_problem_envs_4090/sd000_20260527_194651/train.csv,,cube-triple-play,task1,cube-triple-play-singletask-task1-v0,ActorGeo,ActorGeo,0,1000000,1000000,completed_1m,0.6,-540.1,540.7,0.9,850000,-419.4,420.3,0.9,850000,-0.30000000000000004,1:0 -> 100k:0.2 -> 200k:0 -> 300k:0 -> 400k:0.1 -> 500k:0.1 -> 600k:0.2 -> 700k:0.5 -> 800k:0.8 -> 900k:0.7 -> 1000k:0.6,True,False,False,,eval_csv,/root/sb-value-flows/exp/table3_pm_actorgeo_problem_envs_4090/cube-triple-play-singletask-task1-v0_pm_actorgeo_problem_envs_4090/sd000_20260527_194651/eval.csv,0.59,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__cube-triple-play-singletask-task1-v0__ActorGeo__seed1__1000000__sd001_20260527_235654,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/table3_pm_actorgeo_problem_envs_4090/cube-triple-play-singletask-task1-v0_pm_actorgeo_problem_envs_4090/sd001_20260527_235654/eval.csv,/root/sb-value-flows/exp/table3_pm_actorgeo_problem_envs_4090/cube-triple-play-singletask-task1-v0_pm_actorgeo_problem_envs_4090/sd001_20260527_235654/train.csv,,cube-triple-play,task1,cube-triple-play-singletask-task1-v0,ActorGeo,ActorGeo,1,1000000,1000000,completed_1m,0.6,-693.9,694.5,0.9,850000,-357.8,358.7,0.9,850000,-0.30000000000000004,1:0 -> 100k:0.1 -> 200k:0.4 -> 300k:0.2 -> 400k:0 -> 500k:0.2 -> 600k:0.6 -> 700k:0.2 -> 800k:0.5 -> 900k:0.6 -> 1000k:0.6,True,False,False,,eval_csv,/root/sb-value-flows/exp/table3_pm_actorgeo_problem_envs_4090/cube-triple-play-singletask-task1-v0_pm_actorgeo_problem_envs_4090/sd001_20260527_235654/eval.csv,0.59,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__cube-triple-play-singletask-task1-v0__FullSafe__seed0__1000000__sd000_20260526_230623,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-triple-play-singletask-task1-v0_pm_fullsafe_official_highmem/sd000_20260526_230623/eval.csv,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-triple-play-singletask-task1-v0_pm_fullsafe_official_highmem/sd000_20260526_230623/train.csv,,cube-triple-play,task1,cube-triple-play-singletask-task1-v0,FullSafe,FullSafe,0,1000000,1000000,completed_1m,0.0,-1248.7,1000.0,0.8,850000,-571.5,572.3,0.8,850000,-0.8,1:0 -> 100k:0 -> 200k:0 -> 300k:0 -> 400k:0 -> 500k:0 -> 600k:0 -> 700k:0.2 -> 800k:0.3 -> 900k:0.1 -> 1000k:0,True,False,False,,eval_csv,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-triple-play-singletask-task1-v0_pm_fullsafe_official_highmem/sd000_20260526_230623/eval.csv,0.59,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__scene-play-singletask-task4-v0__MinimalSB_lam0p0003__seed2__300000__sd002_20260608_200119,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_MinimalSB_lam0p0003_seed2/sd002_20260608_200119/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_MinimalSB_lam0p0003_seed2/sd002_20260608_200119/train.csv,,scene-play,task4,scene-play-singletask-task4-v0,MinimalSB_lam0p0003,MinimalSB,2,300000,300000,completed_300k,0.2,-793.6,693.5,0.8,100000,-604.0,408.0,,,-0.6000000000000001,1:0 -> 100k:0.8 -> 200k:0.3 -> 300k:0.2,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_MinimalSB_lam0p0003_seed2/sd002_20260608_200119/eval.csv,0.07,True,False,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__scene-play-singletask-task4-v0__R3_residual_disagree_typicality_lam0p001__seed2__300000__sd002_20260609_021528,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260609_021528/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260609_021528/train.csv,,scene-play,task4,scene-play-singletask-task4-v0,R3_residual_disagree_typicality_lam0p001,R3,2,300000,300000,completed_300k,0.2,-904.4,717.8,0.8,100000,-646.6,428.6,,,-0.6000000000000001,1:0 -> 100k:0.8 -> 200k:0.2 -> 300k:0.2,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260609_021528/eval.csv,0.07,True,False,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__cube-triple-play-singletask-task1-v0__ActorGeo__seed2__1000000__sd002_20260528_040416,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/table3_pm_actorgeo_problem_envs_4090/cube-triple-play-singletask-task1-v0_pm_actorgeo_problem_envs_4090/sd002_20260528_040416/eval.csv,/root/sb-value-flows/exp/table3_pm_actorgeo_problem_envs_4090/cube-triple-play-singletask-task1-v0_pm_actorgeo_problem_envs_4090/sd002_20260528_040416/train.csv,,cube-triple-play,task1,cube-triple-play-singletask-task1-v0,ActorGeo,ActorGeo,2,1000000,1000000,completed_1m,0.4,-795.2,795.6,0.8,500000,-388.7,389.5,0.8,500000,-0.4,1:0 -> 100k:0 -> 200k:0 -> 300k:0.1 -> 400k:0.4 -> 500k:0.8 -> 600k:0.2 -> 700k:0.5 -> 800k:0.8 -> 900k:0.8 -> 1000k:0.4,True,False,False,,eval_csv,/root/sb-value-flows/exp/table3_pm_actorgeo_problem_envs_4090/cube-triple-play-singletask-task1-v0_pm_actorgeo_problem_envs_4090/sd002_20260528_040416/eval.csv,0.59,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__stageA_300k__puzzle-4x4-play-singletask-task3-v0__R2_residual_disagree_lam0p001__seed2__300000,single4090,single4090-selective,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260616_142426/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260616_142426/train.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260616_142426/command.txt,puzzle-4x4-play,task3,puzzle-4x4-play-singletask-task3-v0,R2_residual_disagree_lam0p001,R2,2,300000,300000,completed_300k,0.5,-1824.8,397.1,0.8,250000,,,,,-0.30000000000000004,,True,True,,lightweight_source=results/experiment_runs.csv,lightweight_csv,results/experiment_runs.csv,0.3,True,False,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
