run_id,method_group,visual_domain,task_id,env,config_name,seed,status,step,success,return,length,eval_csv
visual_bigtable_4090d_v5_exp_smoke_baseline_value_flows_visual-scene-play-singletask-task5-v0_seed2_1000_smoke_baseline_value_flows_visual-scene-play-singletask-task5-v0_seed2_1000,v5_smoke,visual-scene-play,task5,visual-scene-play-singletask-task5-v0,baseline_value_flows,2,smoke,1,0.0,-1500.0,750.0,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v5/exp/smoke_baseline_value_flows_visual-scene-play-singletask-task5-v0_seed2_1000/smoke_baseline_value_flows_visual-scene-play-singletask-task5-v0_seed2_1000/sd002_20260609_170014/eval.csv
visual_bigtable_4090d_v5_exp_smoke_baseline_value_flows_visual-scene-play-singletask-task5-v0_seed2_1000_smoke_baseline_value_flows_visual-scene-play-singletask-task5-v0_seed2_1000,v5_smoke,visual-scene-play,task5,visual-scene-play-singletask-task5-v0,baseline_value_flows,2,smoke,1000,0.0,-1500.0,750.0,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v5/exp/smoke_baseline_value_flows_visual-scene-play-singletask-task5-v0_seed2_1000/smoke_baseline_value_flows_visual-scene-play-singletask-task5-v0_seed2_1000/sd002_20260609_170014/eval.csv
visual_bigtable_4090d_v5_exp_smoke_pm_A1_action_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000_smoke_pm_A1_action_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000,v5_smoke,visual-scene-play,task5,visual-scene-play-singletask-task5-v0,A1,2,smoke,1,0.0,-1500.0,750.0,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v5/exp/smoke_pm_A1_action_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/smoke_pm_A1_action_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/sd002_20260609_170308/eval.csv
visual_bigtable_4090d_v5_exp_smoke_pm_A1_action_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000_smoke_pm_A1_action_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000,v5_smoke,visual-scene-play,task5,visual-scene-play-singletask-task5-v0,A1,2,smoke,1000,0.0,-1500.0,750.0,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v5/exp/smoke_pm_A1_action_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/smoke_pm_A1_action_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/sd002_20260609_170308/eval.csv
sual_bigtable_4090d_v5_exp_smoke_pm_R2_flow_residual_disagree_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000_smoke_pm_R2_flow_residual_disagree_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000,v5_smoke,visual-scene-play,task5,visual-scene-play-singletask-task5-v0,R2,2,smoke,1,0.0,-1500.0,750.0,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v5/exp/smoke_pm_R2_flow_residual_disagree_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/smoke_pm_R2_flow_residual_disagree_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/sd002_20260609_170613/eval.csv
sual_bigtable_4090d_v5_exp_smoke_pm_R2_flow_residual_disagree_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000_smoke_pm_R2_flow_residual_disagree_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000,v5_smoke,visual-scene-play,task5,visual-scene-play-singletask-task5-v0,R2,2,smoke,1000,0.0,-1500.0,750.0,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v5/exp/smoke_pm_R2_flow_residual_disagree_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/smoke_pm_R2_flow_residual_disagree_std_lam0p001_visual-scene-play-singletask-task5-v0_seed2_1000/sd002_20260609_170613/eval.csv
vigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000_domain_smoke_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000,v6,visual-antmaze-medium-navigate,task1,visual-antmaze-medium-navigate-singletask-task1-v0,A1,2,smoke,1,0.0,-1000.0,1000.0,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/domain_smoke_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/domain_smoke_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/sd002_20260609_193032/eval.csv
vigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000_domain_smoke_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000,v6,visual-antmaze-medium-navigate,task1,visual-antmaze-medium-navigate-singletask-task1-v0,A1,2,smoke,1000,0.0,-1000.0,1000.0,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/domain_smoke_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/domain_smoke_visual-antmaze-medium-navigate_visual-antmaze-medium-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/sd002_20260609_193032/eval.csv
_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000_domain_smoke_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000,v6,visual-antmaze-teleport-navigate,task1,visual-antmaze-teleport-navigate-singletask-task1-v0,A1,2,smoke,1,0.0,-1000.0,1000.0,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/domain_smoke_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/domain_smoke_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/sd002_20260609_193339/eval.csv
_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000_domain_smoke_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000,v6,visual-antmaze-teleport-navigate,task1,visual-antmaze-teleport-navigate-singletask-task1-v0,A1,2,smoke,1000,0.0,-1000.0,1000.0,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/domain_smoke_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/domain_smoke_visual-antmaze-teleport-navigate_visual-antmaze-teleport-navigate-singletask-task1-v0_A1_action_std_lam0p001_seed2_1000/sd002_20260609_193339/eval.csv
