method,env,seed,restore_path,restore_epoch,run_dir,params_file,source
fql,cube-double-play-singletask-task4-v0,2,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_fql_ckpt500k_default_seed2/o2o_pretrain_cube-double_fql_ckpt500k_default_seed2/sd002_20260704_024633,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_fql_ckpt500k_default_seed2/o2o_pretrain_cube-double_fql_ckpt500k_default_seed2/sd002_20260704_024633,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_fql_ckpt500k_default_seed2/o2o_pretrain_cube-double_fql_ckpt500k_default_seed2/sd002_20260704_024633/params_500000.pkl,offline2online_pretrain
fql,cube-double-play-singletask-task4-v0,3,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_fql_ckpt500k_default_seed3/o2o_pretrain_cube-double_fql_ckpt500k_default_seed3/sd003_20260707_125546,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_fql_ckpt500k_default_seed3/o2o_pretrain_cube-double_fql_ckpt500k_default_seed3/sd003_20260707_125546,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_fql_ckpt500k_default_seed3/o2o_pretrain_cube-double_fql_ckpt500k_default_seed3/sd003_20260707_125546/params_500000.pkl,offline2online_pretrain
fql,puzzle-4x4-play-singletask-task3-v0,2,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed2/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed2/sd002_20260704_035144,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed2/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed2/sd002_20260704_035144,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed2/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed2/sd002_20260704_035144/params_500000.pkl,offline2online_pretrain
fql,puzzle-4x4-play-singletask-task3-v0,3,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed3/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed3/sd003_20260707_144557,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed3/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed3/sd003_20260707_144557,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed3/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed3/sd003_20260707_144557/params_500000.pkl,offline2online_pretrain
fql,scene-play-singletask-task4-v0,2,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_fql_ckpt500k_default_seed2/o2o_pretrain_scene_fql_ckpt500k_default_seed2/sd002_20260704_051654,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_fql_ckpt500k_default_seed2/o2o_pretrain_scene_fql_ckpt500k_default_seed2/sd002_20260704_051654,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_fql_ckpt500k_default_seed2/o2o_pretrain_scene_fql_ckpt500k_default_seed2/sd002_20260704_051654/params_500000.pkl,offline2online_pretrain
fql,scene-play-singletask-task4-v0,3,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_fql_ckpt500k_default_seed3/o2o_pretrain_scene_fql_ckpt500k_default_seed3/sd003_20260707_173110,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_fql_ckpt500k_default_seed3/o2o_pretrain_scene_fql_ckpt500k_default_seed3/sd003_20260707_173110,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_scene_fql_ckpt500k_default_seed3/o2o_pretrain_scene_fql_ckpt500k_default_seed3/sd003_20260707_173110/params_500000.pkl,offline2online_pretrain
ours,cube-double-play-singletask-task2-v0,2,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double-task2_ours_fullsafe500k_t0p3_seed2/o2o_pretrain_cube-double-task2_ours_fullsafe500k_t0p3_seed2/sd002_20260708_054635,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double-task2_ours_fullsafe500k_t0p3_seed2/o2o_pretrain_cube-double-task2_ours_fullsafe500k_t0p3_seed2/sd002_20260708_054635,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double-task2_ours_fullsafe500k_t0p3_seed2/o2o_pretrain_cube-double-task2_ours_fullsafe500k_t0p3_seed2/sd002_20260708_054635/params_500000.pkl,offline2online_pretrain
ours,cube-double-play-singletask-task2-v0,3,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double-task2_ours_fullsafe500k_t0p3_seed3/o2o_pretrain_cube-double-task2_ours_fullsafe500k_t0p3_seed3/sd003_20260708_074837,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double-task2_ours_fullsafe500k_t0p3_seed3/o2o_pretrain_cube-double-task2_ours_fullsafe500k_t0p3_seed3/sd003_20260708_074837,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double-task2_ours_fullsafe500k_t0p3_seed3/o2o_pretrain_cube-double-task2_ours_fullsafe500k_t0p3_seed3/sd003_20260708_074837/params_500000.pkl,offline2online_pretrain
ours,cube-double-play-singletask-task4-v0,2,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed2/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed2/sd002_20260703_000526,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed2/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed2/sd002_20260703_000526,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed2/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed2/sd002_20260703_000526/params_500000.pkl,offline2online_pretrain
ours,cube-double-play-singletask-task4-v0,3,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed3/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed3/sd003_20260705_192934,500000,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed3/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed3/sd003_20260705_192934,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed3/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed3/sd003_20260705_192934/params_500000.pkl,offline2online_pretrain
