domain,task_id,env,config,seed,step,success,return,length,eval_csv,is_best_peak,is_final,vf_baseline
cube-double-play,task1,cube-double-play-singletask-task1-v0,P0_particle,2,1,0.0,-500.0,500.0,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task1_P0_particle_seed2/sd002_20260621_152745/eval.csv,False,False,0.97
cube-double-play,task1,cube-double-play-singletask-task1-v0,P0_particle,2,50000,0.1,-467.9,460.2,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task1_P0_particle_seed2/sd002_20260621_152745/eval.csv,False,False,0.97
cube-double-play,task1,cube-double-play-singletask-task1-v0,P0_particle,2,100000,0.2,-421.3,421.5,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task1_P0_particle_seed2/sd002_20260621_152745/eval.csv,False,False,0.97
cube-double-play,task1,cube-double-play-singletask-task1-v0,P0_particle,2,150000,0.3,-429.0,407.1,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task1_P0_particle_seed2/sd002_20260621_152745/eval.csv,False,False,0.97
cube-double-play,task1,cube-double-play-singletask-task1-v0,P0_particle,2,200000,0.3,-424.7,404.5,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task1_P0_particle_seed2/sd002_20260621_152745/eval.csv,False,False,0.97
cube-double-play,task1,cube-double-play-singletask-task1-v0,P0_particle,2,250000,0.4,-383.6,384.0,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task1_P0_particle_seed2/sd002_20260621_152745/eval.csv,False,False,0.97
cube-double-play,task1,cube-double-play-singletask-task1-v0,P0_particle,2,300000,0.7,-257.6,245.4,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task1_P0_particle_seed2/sd002_20260621_152745/eval.csv,True,True,0.97
cube-double-play,task2,cube-double-play-singletask-task2-v0,A1_action_std_lam0p001,2,1,0.0,-1000.0,500.0,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,A1_action_std_lam0p001,2,50000,0.0,-1000.0,500.0,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,A1_action_std_lam0p001,2,100000,0.0,-911.2,500.0,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,A1_action_std_lam0p001,2,150000,0.0,-918.9,500.0,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,A1_action_std_lam0p001,2,200000,0.0,-1000.0,500.0,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,A1_action_std_lam0p001,2,250000,0.1,-834.4,464.2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050/eval.csv,True,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,A1_action_std_lam0p001,2,300000,0.1,-875.0,464.3,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050/eval.csv,False,True,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,A2_action_std_lam0p003,2,1,0.0,-1000.0,500.0,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,A2_action_std_lam0p003,2,50000,0.0,-1000.0,500.0,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,A2_action_std_lam0p003,2,100000,0.0,-1000.0,500.0,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,A2_action_std_lam0p003,2,150000,0.0,-916.1,500.0,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,A2_action_std_lam0p003,2,200000,0.0,-1000.0,500.0,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,A2_action_std_lam0p003,2,250000,0.0,-1000.0,500.0,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,A2_action_std_lam0p003,2,300000,0.3,-763.1,395.8,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343/eval.csv,True,True,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,1,0.0,-1000.0,500.0,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,50000,0.0,-1000.0,500.0,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,100000,0.0,-955.8,500.0,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,150000,0.0,-1000.0,500.0,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,200000,0.0,-1000.0,500.0,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,250000,0.0,-911.2,500.0,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,300000,0.4,-613.5,356.8,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,350000,0.5,-588.1,360.0,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,400000,0.4,-704.3,383.3,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,450000,0.7,-463.2,272.9,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,500000,0.6,-541.0,307.7,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,550000,0.6,-572.1,318.4,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,600000,0.8,-358.3,244.9,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,650000,0.9,-286.6,186.3,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,True,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,700000,0.8,-360.7,216.6,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,750000,0.9,-351.1,230.9,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,800000,0.8,-512.1,301.5,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,850000,0.9,-460.3,272.6,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,900000,0.7,-399.9,264.2,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,950000,0.7,-403.8,282.2,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,0,1000000,0.8,-375.8,248.5,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,False,True,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,1,1,0.0,-1000.0,500.0,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd001_20260526_150201/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,1,50000,0.0,-1000.0,500.0,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd001_20260526_150201/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,1,100000,0.0,-1000.0,500.0,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd001_20260526_150201/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,1,150000,0.0,-1000.0,500.0,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd001_20260526_150201/eval.csv,False,False,0.76
cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,1,200000,0.1,-920.6,464.8,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd001_20260526_150201/eval.csv,False,False,0.76
