domain,task_id,env,vf_baseline,best_peak_success_any_run,best_peak_step_any_run,best_peak_config,best_peak_seed,best_peak_eval_csv,best_final_success_any_completed_run,best_final_config,best_final_seed,best_final_eval_csv,best_peak_minus_vf,best_final_minus_vf,coverage_status,recommended_next_action,run_count,completed_run_count
cube-double-play,task1,cube-double-play-singletask-task1-v0,0.97,0.7,300000,P0_particle,2,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task1_P0_particle_seed2/sd002_20260621_152745/eval.csv,0.7,P0_particle,2,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task1_P0_particle_seed2/sd002_20260621_152745/eval.csv,-0.27,-0.27,has_300k,covered but below VF; lower priority unless domain coverage requires it,1,1
cube-double-play,task2,cube-double-play-singletask-task2-v0,0.76,1.0,750000,FullSafe,2,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd002_20260526_190350/eval.csv,1.0,FullSafe,2,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd002_20260526_190350/eval.csv,0.24,0.24,has_1m,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,14,14
cube-double-play,task3,cube-double-play-singletask-task3-v0,0.73,1.0,700000,A2_action_std_lam0p003,0,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task3_A2_action_std_lam0p003_seed0/sd000_20260612_213228/eval.csv,0.9,A2_action_std_lam0p003,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260612_173301/eval.csv,0.27,0.17000000000000004,has_1m,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,10,10
cube-double-play,task4,cube-double-play-singletask-task4-v0,0.3,0.7,800000,A1_action_std_lam0p001,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task4_A1_action_std_lam0p001_seed2/sd002_20260613_053127/eval.csv,0.5,A1_action_std_lam0p001,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task4_A1_action_std_lam0p001_seed2/sd002_20260613_053127/eval.csv,0.39999999999999997,0.2,has_1m,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,10,10
cube-double-play,task5,cube-double-play-singletask-task5-v0,0.69,0.5,250000,P0_particle,2,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task5_P0_particle_seed2/sd002_20260621_141124/eval.csv,0.5,P0_particle,2,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task5_P0_particle_seed2/sd002_20260621_141124/eval.csv,-0.18999999999999995,-0.18999999999999995,has_300k,covered but below VF; lower priority unless domain coverage requires it,1,1
cube-triple-play,task1,cube-triple-play-singletask-task1-v0,0.59,0.9,850000,ActorGeo,0,/root/sb-value-flows/exp/table3_pm_actorgeo_problem_envs_4090/cube-triple-play-singletask-task1-v0_pm_actorgeo_problem_envs_4090/sd000_20260527_194651/eval.csv,0.6,ActorGeo,0,/root/sb-value-flows/exp/table3_pm_actorgeo_problem_envs_4090/cube-triple-play-singletask-task1-v0_pm_actorgeo_problem_envs_4090/sd000_20260527_194651/eval.csv,0.31000000000000005,0.010000000000000009,has_1m,collapse: consider state_stable_v1; keep best peak as best-eval diagnostic,6,6
cube-triple-play,task2,cube-triple-play-singletask-task2-v0,0.0,0.0,1,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_A1_action_std_lam0p001_seed2/sd002_20260619_173909/eval.csv,0.0,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_A1_action_std_lam0p001_seed2/sd002_20260619_173909/eval.csv,0.0,0.0,has_300k,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,4,4
cube-triple-play,task3,cube-triple-play-singletask-task3-v0,0.07,0.2,300000,R2_residual_disagree_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260620_113121/eval.csv,0.2,R2_residual_disagree_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260620_113121/eval.csv,0.13,0.13,has_300k,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,11,11
cube-triple-play,task4,cube-triple-play-singletask-task4-v0,0.0,0.0,1,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_A1_action_std_lam0p001_seed2/sd002_20260619_224649/eval.csv,0.0,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_A1_action_std_lam0p001_seed2/sd002_20260619_224649/eval.csv,0.0,0.0,has_300k,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,4,4
cube-triple-play,task5,cube-triple-play-singletask-task5-v0,0.02,0.0,1,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_A1_action_std_lam0p001_seed2/sd002_20260620_050930/eval.csv,0.0,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_A1_action_std_lam0p001_seed2/sd002_20260620_050930/eval.csv,-0.02,-0.02,has_300k,covered but below VF; lower priority unless domain coverage requires it,4,4
